step,t,resid_cross,resid_skew
0,1.0000000000000007,8.886119947416683e-16,4.440892098500626e-16
1,1.9999999999999793,1.1102230246251565e-15,6.661338147750939e-16
2,2.9999999999999583,4.577566798522237e-16,4.440892098500626e-16
3,3.999999999999937,1.0877919644084146e-15,2.7755575615628914e-16
4,4.999999999999916,4.965068306494546e-16,2.220446049250313e-16
